entity_id,name,entity_type,mention_count,document_count,out_degree,in_degree,degree,relation_count,weighted_degree,evidence_count,pagerank,betweenness,harmonic_centrality,core_number,community_id,community_size,participation_coefficient,relation_family_count,view_count,views,neighbor_type_entropy,relation_rate,pagerank_percentile,betweenness_percentile,participation_percentile,bridge_score,degree_rank,pagerank_rank,betweenness_rank,bridge_rank
ent_e148ca0687f4,佛法,DoctrineTerm,0,0,30,47,71,86,101,107,0.008625817712450006,0.07962948460648185,549.3857142857123,6,1,235,0.7062052739927458,9,4,other_domain;practice;propagation_organization;thought_doctrine,0.842939609058482,,1.0,0.9983183856502242,0.9932735426008968,0.9473094170403588,5,1,4,5
ent_b265c0f135b0,涅槃,DoctrineTerm,0,0,13,17,24,33,33,33,0.008073220991036823,0.013201267329571617,418.24047619047275,6,3,153,0.2222222222222222,4,2,practice;thought_doctrine,0.49040560518888765,,0.999439461883408,0.9887892376681614,0.7926008968609866,0.7532959641255605,20,2,21,122
ent_4c194eb34333,般若,DoctrineTerm,0,0,10,23,32,39,57,60,0.007250099486964803,0.018072386912528857,452.2357142857104,6,3,153,0.43951985226223467,7,4,classic_text;other_domain;propagation_organization;thought_doctrine,0.6534386751602588,,0.9988789237668162,0.9915919282511211,0.8497757847533632,0.8815695067264574,12,3,16,17
ent_b1e217884f50,智慧,DoctrineTerm,0,0,7,24,28,35,39,43,0.006847010183448288,0.014739386439516347,478.23809523809103,6,3,153,0.6614069690992769,7,3,other_domain;practice;thought_doctrine,0.6132382418572682,,0.9983183856502242,0.9893497757847534,0.9798206278026906,0.8796860986547085,15,4,20,18
ent_7218629ab8b8,自性,DoctrineTerm,2550,1034,5,8,11,14,14,15,0.006472286602168923,0.0020584690243773277,392.9928571428538,6,3,153,0.4387755102040817,5,2,practice;thought_doctrine,0.43949698692151334,0.5490196078431373,0.9977578475336323,0.9035874439461884,0.8492152466367713,0.7461995515695068,73,5,173,135
ent_1b85a8db0019,信徒,Group,15098,3574,16,24,34,40,61,68,0.006015589529270268,0.027740038795440135,490.0809523809484,6,5,111,0.5735017468422466,7,4,other_domain;practice;propagation_organization;thought_doctrine,0.7539488381889757,0.26493575307987816,0.9971973094170403,0.9966367713004485,0.9551569506726457,0.9152017937219732,11,6,7,12
ent_a6b94c65c717,人間佛教,Concept,0,0,30,39,63,89,104,115,0.005691087051002177,0.06101675065088655,536.035714285712,6,1,235,0.6105769230769231,8,4,other_domain;practice;propagation_organization;thought_doctrine,0.8591898023759877,,0.9966367713004485,0.9971973094170403,0.9602017937219731,0.9269394618834081,6,7,6,8
ent_86900e4a696c,淨土,DoctrineTerm,0,0,5,22,27,27,27,29,0.005369054242340124,0.02265576148980603,431.96904761904324,6,8,58,0.6364883401920438,6,3,practice;propagation_organization;thought_doctrine,0.8561904012437035,,0.9960762331838565,0.9955156950672646,0.9730941704035875,0.8701345291479821,17,8,9,24
ent_b9466da1d262,佛教,DoctrineTerm,0,0,67,31,92,117,132,146,0.005121026450853987,0.069220571898847,533.4261904761876,6,1,235,0.45087235996326913,10,4,other_domain;practice;propagation_organization;thought_doctrine,0.7935181156208364,,0.9955156950672646,0.9977578475336323,0.8817264573991032,0.9236210762331839,4,9,5,9
ent_bd68ae54ea00,修行,PracticeActivity,0,0,19,25,39,47,54,57,0.004895391827452341,0.01916199073291899,457.65238095237646,6,2,153,0.6865569272976682,7,4,other_domain;practice;propagation_organization;thought_doctrine,0.9020812402707432,,0.9949551569506726,0.9927130044843049,0.9876681614349776,0.9233856502242153,7,10,14,10
