book_id,title,category,document_count,char_count
book_002,001-003六祖壇經講話(共3冊),第一類【經義】,33,266846
book_005,004-005金剛經講話(共2冊),第一類【經義】,97,204096
book_007,006成就的祕訣──金剛經,第一類【經義】,33,88636
book_008,007般若心經的生活觀,第一類【經義】,17,94178
book_009,008在人間自在修行──八識講話,第一類【經義】,27,56070
book_010,008阿含經與人間佛教,第一類【經義】,6,20072
book_011,009法華經觀世音菩薩普門品講話,第一類【經義】,15,70686
book_012,010人海慈航：怎樣知道有觀世音菩薩,第一類【經義】,8,91564
book_013,011十種幸福之道──佛說妙慧童女經,第一類【經義】,17,84096
book_014,011勝鬘經十大受,第一類【經義】,14,13232
book_015,012在人間歡喜修行──維摩詰經,第一類【經義】,31,85767
book_016,013談淨土法門,第一類【經義】,22,83626
book_017,014八大人覺經十講,第一類【經義】,12,36310
book_018,014法華經大意,第一類【經義】,14,55490
book_019,015華嚴經普賢十大願,第一類【經義】,17,106540
book_020,016-018佛法真義(共3冊),第一類【經義】,308,345156
book_023,019-023佛教管理學(共5冊),第一類【經義】,168,467539
book_028,024讀藏指導：佛經表解,第一類【經義】,35,19772
book_034,152-161迷悟之間(共10冊),第五類【文叢】,1126,953971
book_035,026人間佛教佛陀本懷,第二類【人間佛教論叢】,27,148585
book_036,027人間佛教的戒定慧,第二類【人間佛教論叢】,13,111985
book_038,028-032人間佛教論文集(共5冊),第二類【人間佛教論叢】,29,446132
book_043,033-035人間佛教語錄(共3冊),第二類【人間佛教論叢】,31,295254
book_083,162-171人間萬事(共10冊),第五類【文叢】,1093,1201713
book_084,043-070佛教叢書(共28冊),第三類【教科書】,1133,2829002
book_086,036-040人間佛教當代問題座談會(共5冊),第二類【人間佛教論叢】,25,493338
book_087,041-042人間系列(共2冊),第二類【人間佛教論叢】,43,264110
book_088,071-082佛光教科書(共12冊),第三類【教科書】,257,956147
book_089,083-088僧事百講(共6冊),第三類【教科書】,104,804178
book_090,089-093往事百語(共5冊),第三類【教科書】,128,538575
book_091,094-103金玉滿堂(共10冊),第三類【教科書】,1010,1032484
book_092,112獻給旅行者365日──中華文化佛教寶典,第三類【教科書】,14,111405
book_093,113-122講演集(共10冊),第四類【講演集】,151,1227824
book_094,123主題演說：當代人心思潮,第四類【講演集】,17,138511
book_095,124-151隨堂開示錄(共28冊),第四類【講演集】,787,3322265
book_096,172-177星雲禪話(共6冊),第五類【文叢】,1086,675264
