alias,normalized_alias,entity_id,ambiguity_count,resolution_status
“点亮希望的灯”献灯祈福活动,“点亮希望的灯”献灯祈福活动,ent_da39d15fc599,1,unique_alias
㕧刺拏伐底,㕧刺拏伐底,ent_a18002885379,1,unique_alias
㖶尼,㖶尼,ent_53c88ad0e0a1,1,unique_alias
㖶罗,㖶罗,ent_40ab7151f3bb,1,unique_alias
㖶羅,㖶罗,ent_40ab7151f3bb,1,unique_alias
㲉藏,㲉藏,ent_17fe3d3a4a42,1,unique_alias
䓉子洲,䓉子洲,ent_cd3dad309869,1,unique_alias
䕞𦿆,䕞𦿆,ent_60ddafcaecef,1,unique_alias
一万僧会,一万僧会,ent_82ceab3af7d9,1,unique_alias
一萬僧會,一万僧会,ent_82ceab3af7d9,1,unique_alias
一丈六像,一丈六像,ent_ffb78f4e3f36,1,unique_alias
一三昧,一三昧,ent_ce7a2300e5f1,1,unique_alias
一业,一业,ent_944acd6c3ac8,1,unique_alias
一業,一业,ent_944acd6c3ac8,1,unique_alias
一业所感,一业所感,ent_b2aaaaf19c61,1,unique_alias
一業所感,一业所感,ent_b2aaaaf19c61,1,unique_alias
一个半个,一个半个,ent_ce6f293f77fd,1,unique_alias
一個半個,一个半个,ent_ce6f293f77fd,1,unique_alias
一中一切中,一中一切中,ent_3505b40af531,1,unique_alias
一举万里,一举万里,ent_4ce32176561c,1,unique_alias
一舉萬里,一举万里,ent_4ce32176561c,1,unique_alias
一乘一味,一乘一味,ent_d9d99c7fb6a2,1,unique_alias
一乘之机,一乘之机,ent_80273a7f5633,1,unique_alias
一乘之機,一乘之机,ent_80273a7f5633,1,unique_alias
一乘之珠,一乘之珠,ent_545fdf36465f,1,unique_alias
一乘圆宗,一乘圆宗,ent_55964b353ff5,1,unique_alias
一乘圓宗,一乘圆宗,ent_55964b353ff5,1,unique_alias
一乘妙典,一乘妙典,ent_301e5db677c2,1,unique_alias
一乘妙文,一乘妙文,ent_89ff4b0d6ebc,1,unique_alias
一乘家,一乘家,ent_48a5d7aabcef,1,unique_alias
一乘显性教,一乘显性教,ent_1c67dbee574e,1,unique_alias
一乘顯性教,一乘显性教,ent_1c67dbee574e,1,unique_alias
一乘法,一乘法,ent_3e2341d3caea,1,unique_alias
一乘法門,一乘法门,ent_201c291ba184,1,unique_alias
一乘法门,一乘法门,ent_201c291ba184,1,unique_alias
一乘究竟教,一乘究竟教,ent_807fa0829c62,1,unique_alias
一乘經,一乘经,ent_9001176d93cb,1,unique_alias
一乘经,一乘经,ent_9001176d93cb,1,unique_alias
