entity_id,name,entity_type,node_class,mention_count,document_count,in_relation_graph,in_claim_graph,analytics_enabled
ent_a18002885379,㕧刺拏伐底,Concept,StableSemanticEntity,0,0,false,false,false
ent_53c88ad0e0a1,㖶尼,Concept,StableSemanticEntity,0,0,false,false,false
ent_40ab7151f3bb,㖶羅,Concept,StableSemanticEntity,0,0,false,false,false
ent_17fe3d3a4a42,㲉藏,Concept,StableSemanticEntity,0,0,false,false,false
ent_cd3dad309869,䓉子洲,PlaceRealm,StableSemanticEntity,0,0,false,false,false
ent_60ddafcaecef,䕞𦿆,Concept,StableSemanticEntity,0,0,false,false,false
ent_82ceab3af7d9,一萬僧會,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_ffb78f4e3f36,一丈六像,RitualObject,StableSemanticEntity,1,1,false,false,false
ent_ce7a2300e5f1,一三昧,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_944acd6c3ac8,一業,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_b2aaaaf19c61,一業所感,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_ce6f293f77fd,一個半個,Concept,StableSemanticEntity,0,0,false,false,false
ent_3505b40af531,一中一切中,Concept,StableSemanticEntity,2,2,false,false,false
ent_4ce32176561c,一舉萬里,Concept,StableSemanticEntity,0,0,false,false,false
ent_d9d99c7fb6a2,一乘一味,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_80273a7f5633,一乘之機,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_545fdf36465f,一乘之珠,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_55964b353ff5,一乘圓宗,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_301e5db677c2,一乘妙典,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_89ff4b0d6ebc,一乘妙文,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_48a5d7aabcef,一乘家,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_1c67dbee574e,一乘顯性教,SchoolTradition,StableSemanticEntity,3,2,false,false,false
ent_3e2341d3caea,一乘法,DoctrineTerm,StableSemanticEntity,88,60,true,false,true
ent_201c291ba184,一乘法門,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_807fa0829c62,一乘究竟教,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_9001176d93cb,一乘經,Classic,StableSemanticEntity,0,0,false,false,false
ent_c18cc78990a0,一乘菩提,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_3ee7043ee17c,一九之教,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_f060a21ffcef,一九之生,DoctrineTerm,StableSemanticEntity,1,1,false,false,false
ent_e6a45f903518,一人作虛,Concept,StableSemanticEntity,0,0,false,false,false
ent_ccdaafe0d01f,一人當千,Concept,StableSemanticEntity,0,0,false,false,false
ent_e49bf2235e96,一代三段,Concept,StableSemanticEntity,0,0,false,false,false
ent_cbd53b9e0aec,一代五時佛法,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_f7da31834d56,一代半滿教,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_bbe4488751a7,一位一切位,Concept,StableSemanticEntity,0,0,false,false,false
ent_0951cb7dad4c,一體三分,Concept,StableSemanticEntity,0,0,false,false,false
ent_1103cbb6c558,一體三寶,DoctrineTerm,StableSemanticEntity,5,4,false,false,false
ent_74da4fefb92d,一體三身自性佛,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_e0b0b0a6bdcb,一體速疾力三昧,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_e62cfd4b5f53,一佛,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_b13477a9bea1,一佛世界,PlaceRealm,StableSemanticEntity,0,0,false,false,false
ent_440b6f65585a,一佛乘,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_8c482803432b,一佛淨土,PlaceRealm,StableSemanticEntity,0,0,false,false,false
ent_cf6bf7b8a178,一佛土,PlaceRealm,StableSemanticEntity,0,0,false,false,false
ent_ecbc119d5720,一佛多佛,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_1831f0c2517c,一佛成道,Concept,StableSemanticEntity,0,0,false,false,false
ent_a0a56c4bec76,一俱胝,Concept,StableSemanticEntity,6,4,false,false,false
ent_79ed045fbf58,一假一切假,Concept,StableSemanticEntity,1,1,false,false,false
ent_e091757e8bc2,一偈,Classic,StableSemanticEntity,0,0,false,false,false
ent_dd27423d256e,一光三尊,Concept,StableSemanticEntity,0,0,false,false,false
ent_7fde30f34f7c,一刀三禮,Concept,StableSemanticEntity,5,5,false,false,false
ent_73857a0f66d2,一分家,Concept,StableSemanticEntity,1,1,false,false,false
ent_1e49eb2005b5,一分菩薩,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_e117205d00a1,一切一心識,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_55074d5fb162,一切萬法,DoctrineTerm,StableSemanticEntity,94,77,false,true,false
ent_91aca959a29c,一切萬物,Concept,StableSemanticEntity,68,59,false,false,false
ent_37557ad90e48,一切世尊最尊特身,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_df355fe806bd,一切世間,Concept,StableSemanticEntity,133,97,false,false,false
