relation_id,source_id,source_name,source_type,relation_type,relation_label,target_id,target_name,target_type,direction,usage,layer,analytics_enabled,mention_count,document_count,paragraph_count,category_count,evidence_count,evidence_strength,example_text,example_url
rel_852bdbc956a7,ent_3e2341d3caea,一乘法,DoctrineTerm,concept_defined_as,概念定义为,ent_4eee776ce0b0,中有,DoctrineTerm,directed,core_usable,stable_entity_graph,true,2,0,0,0,1,single_article,一乘法，就是你中有我，我中有你，彼此互為相等，從差別中求取平等，從矛盾中求取統一。,https://books.masterhsingyun.org/ArticleDetail/artcle9745
rel_79bd397025af,ent_9c79cb2ab069,一切智光明仙人慈心因緣不食肉經,Classic,classic_records_person,经典记载人物,ent_c28fd265d099,彌勒,BuddhistFigure,directed,core_usable,stable_entity_graph,true,2,2,2,1,2,multi_article,依《一切智光明仙人慈心因緣不食肉經》載，彌勒菩薩出生婆羅門家庭，後為佛弟子，曾發誓願：「願我世世不起殺想，恆不噉肉，入白光明慈三昧，乃至成佛，制斷肉戒。」,https://books.masterhsingyun.org/ArticleDetail/artcle7049
rel_173318707741,ent_56db144ad988,一切有為法,DoctrineTerm,concept_equivalent_to,概念等同或同义,ent_1244a0f49239,世間法,DoctrineTerm,symmetric,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,佛陀對這個世間的萬象都瞭如指掌，如《金剛經》說：「一切有為法，如夢幻泡影，如露亦如電，應作如是觀。」⟂S⟂，這是對宇宙世間的「緣起」法則深入了解的最好說明。⟂S⟂一切「有為」的法，就是「世間法」，以「因緣、條件」為軸心。⟂S⟂「諸法因緣生，諸法因緣滅」，這許多「因緣條件」合了會分散；⟂S⟂分散則「空」，但「空」了還能生出「妙有」，所以說如夢一樣，如泡沫一樣，如露一樣，如電一樣，眼看著生起、成就了，不久又會幻滅。,https://books.masterhsingyun.org/ArticleDetail/artcle15988
rel_3e8ec939abe7,ent_56db144ad988,一切有為法,DoctrineTerm,concept_has_quality,概念具有属性,ent_0447a31ca784,剎那生滅,DoctrineTerm,directed,core_usable,stable_entity_graph,true,2,1,1,1,2,single_article,也許有人會說，我不求聞達於諸侯，是個安於平凡的人，既不貪愛權勢名位，也不羨慕高官厚祿，我能甘於澹泊，不被外在的物質有無，不受人事的好壞所動，因此能夠無憂無喜的過日子。⟂S⟂然而一個人即使有此修養，只是世間一切有為法都是遷流不住，都是剎那生滅，無法常住安穩，因此身心仍不免受到無常的逼惱，而有「世事無常」的慨嘆，這就是「行苦」。,https://books.masterhsingyun.org/ArticleDetail/artcle425
rel_1f875bb8dce6,ent_56db144ad988,一切有為法,DoctrineTerm,concept_has_quality,概念具有属性,ent_9a09ad0a2d77,無常,DoctrineTerm,directed,core_usable,stable_entity_graph,true,6,5,5,2,6,multi_article,「諸行無常」是佛教的真理，世間上的一切有為法都是因緣和合而生起，因緣所生的諸法，空無自性，隨著緣聚而生，緣散而滅，是三世遷流不住的，所以說「無常」。,https://books.masterhsingyun.org/ArticleDetail/artcle14215
rel_5f4889a13b64,ent_56db144ad988,一切有為法,DoctrineTerm,concept_has_quality,概念具有属性,ent_c491291ea5a3,無我,DoctrineTerm,directed,core_usable,stable_entity_graph,true,3,2,2,1,3,multi_article,這是說明世間萬物無一得以常住不壞，凡生者必滅，因此，唯有超脫此生、滅的世界，才可達到寂靜的境域。⟂S⟂也就是說，一切有為法的本性是空寂的，所以無常、無我，所以能實現涅槃，這就是「三法印」的思想根據，也是佛教的根本教義。,https://books.masterhsingyun.org/ArticleDetail/artcle3984
rel_c50da7bc0331,ent_56db144ad988,一切有為法,DoctrineTerm,concept_has_quality,概念具有属性,ent_08bedbb7dcb1,空性,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,一切有為法都是因緣所生的假有，本性是空，因此不能從假象上執有，應該從假有中認識空性，但是也不能從空性中執空，因為儘管緣起法是幻有、假有，但也並非虛無，我們可以從空性中看到妙有，這就是「空有不二」。,https://books.masterhsingyun.org/ArticleDetail/artcle3983
rel_20e1c52258df,ent_56db144ad988,一切有為法,DoctrineTerm,concept_has_quality,概念具有属性,ent_baa0a6afc97b,空無自性,DoctrineTerm,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,（一）諸行無常：「行」是遷流、轉變的意思。⟂S⟂世間上一切形形色色的事物，沒有一樣不是在剎那剎那之間遷流轉變，沒有一樣是常住不變的。⟂S⟂因為世間上的一切有為法都是因緣和合而生起，因緣所生的諸法，空無自性，它隨著緣聚而生，緣散而滅。⟂S⟂譬如有情世間的人有生老病死的現象，器世間的山河大地有成住壞空的演變，心念有生住異滅的變化，因此，一切法在時間上是剎那不住，念念生滅；⟂S⟂過去的已滅，未來的未生，現在的即生即滅，它是三世遷流不住的，所以說「諸行無常」。,https://books.masterhsingyun.org/ArticleDetail/artcle425
rel_024fbe8a4f49,ent_56db144ad988,一切有為法,DoctrineTerm,doctrine_constrained_by,义理受条件或范围限制,ent_61654ef63947,因緣,DoctrineTerm,directed,core_usable,stable_entity_graph,true,10,7,7,5,10,multi_article,比凡夫高一點的聲聞、緣覺、羅漢等聖者，他們對宇宙人生的體會，對世間萬有的看法又更高超一些。⟂S⟂他們看世間一切都是「緣起」而有，也就是認識世間一切都是因緣所生起，「緣聚則生，緣散則滅」。⟂S⟂「緣起」是佛教的根本教理，也是佛教異於其他宗教、哲學、思想的最大特性。⟂S⟂緣起說明世間上的事事物物，一切有為法都不是憑空而有，也不能單獨存在，必須在各種因緣條件和合之下，才能現起和存在。⟂S⟂一旦組成的「因緣」散失，事物本身也就不復存在，這就是佛教所謂「諸法因緣生，諸法因緣滅」的道理。,https://books.masterhsingyun.org/ArticleDetail/artcle425
rel_fc546c548962,ent_d98238f10abc,一切有情,Concept,concept_has_subconcept,概念包含下位概念,ent_f30880e05340,女人,Group,directed,core_usable,stable_entity_graph,true,1,1,1,1,1,single_article,宇宙一切有情眾生，雖然有智愚賢劣、富貴貧賤的種種差異，但是究其性別不外為男女之別而已。⟂S⟂其中，女性和每一個人都有至為密切的關係，每一個人不管你是男人還是女人，都是在母親的襁褓中長大的，沒有了母親，就沒有生命的誕生，因此生為女性的母親是一切生機的泉源。,https://books.masterhsingyun.org/ArticleDetail/artcle747
